"State","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984"
"United States (Median average)",83730,80610,74580,70780,68010,68700,63180,61370,59040,56520,53660,51940,51020,50050,49280,49780,50300,50230,48200,46330,44330,43320,42410,42230,41990,40700,38890,37010,35490,34080,32260,31240,30640,30130,29940,28910,27230,26060,24900,23620,22420
"Alabama",65560,60660,59910,56930,54690,56200,49940,51110,47220,44510,42280,41380,43460,42590,40930,39980,44480,42210,37950,37150,36630,37260,37600,35160,35420,36250,36270,31940,30300,25990,27200,25080,25810,24350,23360,21280,19950,19730,19130,18330,17310
"Alaska",91260,98190,89740,81130,74750,78390,68730,72230,75720,75110,67630,61140,63650,57430,57850,61600,63990,62990,56420,55890,55060,51840,52770,57360,52850,51400,50690,47990,52780,47950,45370,42930,41800,40610,39300,36010,33100,33230,31360,34780,32360
"Arizona",84700,82660,73450,70820,67090,70670,62280,61130,57100,52250,49250,50600,47040,48620,46900,45740,46910,47220,46660,45250,43850,41170,39730,42700,39780,37000,37090,32740,31640,30860,31290,30510,29360,30740,29220,28550,26440,26750,25500,23880,21430
"Arkansas",64840,63250,53980,50780,50780,54540,49780,48830,45910,42800,44920,39920,39020,41300,38590,36540,39590,40800,37060,36660,34980,32000,32390,33340,29700,29680,27670,26160,27120,25810,25570,23040,23880,23440,22790,21430,20170,18830,18730,17450,15670
"California",100600,89870,85300,81580,77650,78100,70490,69760,66640,63640,60490,57530,57020,53370,54280,56130,57010,55730,55320,51760,49220,49300,47440,47260,46820,43630,40930,39690,38810,37010,35330,34070,34900,33660,33290,33010,30290,30150,29010,26980,25290
"Colorado",106500,96640,89930,84950,83780,72500,73030,74170,70570,66600,60940,63370,57260,58630,60230,55930,60940,61140,55700,50450,50890,49940,48290,49400,48240,48180,46600,43230,40950,40710,37830,34490,32480,31500,30730,26810,26210,26480,27190,28180,25800
"Connecticut",99240,92240,90730,80960,79430,87290,72810,72780,75920,72890,70160,67780,64250,65420,66000,64850,64680,64140,62400,56840,55100,54970,53390,53350,50170,50590,46510,43990,42120,40240,41100,39520,40840,42150,38870,42320,36210,32860,32720,31090,29950
"Delaware",85860,86340,80750,68690,70020,74190,65010,62320,58050,57760,57520,52220,48970,54660,55210,52110,50700,54590,52440,51240,48050,49020,49650,49600,50370,46630,41460,43030,39310,34930,35870,36060,35680,32590,30800,32070,30510,29240,25630,22980,25820
"District of Columbia",104800,111000,101700,90640,88220,93110,85750,83380,70980,70070,68280,60680,65250,55250,56930,53140,55590,50780,48480,44990,43450,45040,39070,41170,41220,38670,33430,31860,31970,30750,30120,27300,30250,29890,27390,26750,26740,27460,24320,21080,20410
