Table with row headers in column A and column headers in rows 8 through 9 and 63 through 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table H-8. Median Household Income by State: 1984 to 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar25.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes are available at <www.census.gov/topics/income-poverty/income/guidance/cps-historic-footnotes.html>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 1985 to 2025 Annual Social and Economic Supplements (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Households as of March of the following year. Income in current and 2024 C-CPI-U (2000-2024) and R-CPI-U-RS (pre-2000) adjusted dollars (28). Beginning in 2010, standard errors were calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,2024,,2023,,2022,,2021,,2020 (41),,2019,,2018,,2017 (40),,2017,,2016,,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004 (revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error
United States,"83,730",638,"80,610",385,"74,580",588,"70,780",368,"68,010",535,"68,700",550,"63,180",420,"61,140",322,"61,370",335,"59,040",436,"56,520",321,"53,660",392,"53,590",654,"51,940",276,"51,020",209,"50,050",251,"49,280",325,"49,780",213,"50,300",137,"50,230",140,"48,200",207,"46,330",155,"44,330",196,"43,320",188,"42,410",139,"42,230",129,"41,990",132,"40,700",190,"38,890",230,"37,010",171,"35,490",179,"34,080",197,"32,260",147,"31,240",146,"30,640",145,"30,130",144,"29,940",153,"28,910",159,"27,230",139,"26,060",127,"24,900",129,"23,620",128,"22,420",102
Alabama,"65,560","5,862","60,660","3,993","59,910","1,934","56,930","2,294","54,690","2,563","56,200","2,512","49,940","2,423","50,870","1,094","51,110",845,"47,220","2,301","44,510","3,419","42,280","1,529","47,320","5,511","41,380","2,315","43,460","2,529","42,590","2,021","40,930","2,396","39,980",904,"44,480","1,659","42,210","1,420","37,950","1,014","37,150","1,215","36,630","1,303","37,260","1,580","37,600","1,062","35,160","1,006","35,420","1,072","36,250","1,189","36,270","1,307","31,940","1,607","30,300","1,258","25,990","1,266","27,200","1,559","25,080","1,088","25,810","1,058","24,350","1,068","23,360","1,037","21,280","1,070","19,950",912,"19,730","1,147","19,130",885,"18,330",760,"17,310",605
Alaska,"91,260","5,591","98,190","6,112","89,740","4,842","81,130","3,967","74,750","3,557","78,390","6,685","68,730","3,390","77,990","3,718","72,230","2,719","75,720","4,086","75,110","3,485","67,630","3,153","72,470","5,446","61,140","3,301","63,650","2,839","57,430","3,710","57,850","2,390","61,600","1,751","63,990","2,302","62,990","1,583","56,420","1,495","55,890","1,331","55,060","2,071","51,840",981,"52,770","1,073","57,360","2,012","52,850","1,159","51,400","2,226","50,690","2,124","47,990","1,258","52,780","1,907","47,950","2,008","45,370","1,494","42,930","1,643","41,800","1,156","40,610","1,822","39,300","1,627","36,010","1,378","33,100","1,183","33,230","1,497","31,360","1,017","34,780","1,089","32,360","1,473"
Arizona,"84,700","3,245","82,660","2,723","73,450","4,123","70,820","3,394","67,090","3,409","70,670","3,391","62,280","2,291","59,700","2,689","61,130","2,642","57,100","1,971","52,250","2,008","49,250","2,304","52,610","4,365","50,600","4,831","47,040","2,922","48,620","2,424","46,900","2,227","45,740","1,241","46,910","1,125","47,220","1,555","46,660","1,246","45,250","1,271","43,850","1,143","41,170","1,422","39,730","1,003","42,700","1,441","39,780","1,210","37,000","1,133","37,090","1,255","32,740","1,297","31,640","1,274","30,860","1,360","31,290",773,"30,510","1,120","29,360","1,088","30,740",897,"29,220","1,141","28,550","1,210","26,440",843,"26,750",892,"25,500",718,"23,880",744,"21,430",609
Arkansas,"64,840","1,921","63,250","2,451","53,980","2,376","50,780","1,440","50,780","1,837","54,540","2,384","49,780","2,108","49,750","2,491","48,830","2,642","45,910","2,165","42,800","1,572","44,920","2,546","39,380","2,402","39,920","2,389","39,020","2,812","41,300","1,849","38,590","2,464","36,540",909,"39,590","1,194","40,800","1,348","37,060",767,"36,660","1,309","34,980",994,"32,000",776,"32,390",778,"33,340","1,144","29,700",772,"29,680","1,026","27,670","1,160","26,160","1,154","27,120",978,"25,810",999,"25,570",944,"23,040",847,"23,880","1,398","23,440",783,"22,790",981,"21,430",915,"20,170",706,"18,830","1,008","18,730",765,"17,450",764,"15,670",748
California,"100,600","1,694","89,870","1,840","85,300","1,960","81,580","1,219","77,650","1,437","78,100","1,850","70,490","1,233","70,040","1,576","69,760","1,452","66,640","1,075","63,640","1,711","60,490",894,"60,790","1,811","57,530","1,223","57,020","1,238","53,370","1,378","54,280","1,182","56,130",619,"57,010",829,"55,730",618,"55,320",695,"51,760",460,"49,220",660,"49,300",819,"47,440",766,"47,260",727,"46,820",686,"43,630",703,"40,930",577,"39,690",864,"38,810",818,"37,010",723,"35,330",619,"34,070",651,"34,900",629,"33,660",685,"33,290",565,"33,010",618,"30,290",634,"30,150",538,"29,010",570,"26,980",350,"25,290",364
Colorado,"106,500","8,547","96,640","6,194","89,930","3,790","84,950","3,155","83,780","6,019","72,500","5,221","73,030","3,562","74,980","2,661","74,170","2,982","70,570","4,125","66,600","3,682","60,940","2,414","67,910","4,129","63,370","2,800","57,260","2,708","58,630","2,553","60,230","2,481","55,930","1,595","60,940","1,898","61,140","1,014","55,700","1,524","50,450","1,287","50,890","1,590","49,940","1,158","48,290","1,464","49,400","1,190","48,240","1,237","48,180","1,483","46,600","1,086","43,230","1,944","40,950","1,329","40,710","1,552","37,830","1,446","34,490","1,569","32,480","1,471","31,500","1,245","30,730",906,"26,810","1,398","26,210","1,285","26,480","1,075","27,190",926,"28,180",850,"25,800",805
Connecticut,"99,240","4,631","92,240","5,980","90,730","4,245","80,960","5,261","79,430","3,602","87,290","4,630","72,810","5,119","74,300","3,453","72,780","3,509","75,920","3,404","72,890","4,449","70,160","2,665","69,290","3,238","67,780","2,547","64,250","2,853","65,420","3,014","66,000","2,095","64,850","2,308","64,680","2,701","64,140","2,049","62,400","2,162","56,840","1,633","55,100","1,648","54,970","1,561","53,390","1,370","53,350","1,240","50,170","1,357","50,590","2,296","46,510","2,728","43,990","1,989","42,120","3,087","40,240","2,269","41,100","1,595","39,520","1,660","40,840","1,972","42,150","1,944","38,870","2,097","42,320","1,592","36,210","1,293","32,860","1,362","32,720","1,605","31,090","1,129","29,950","1,238"
Delaware,"85,860","3,258","86,340","3,867","80,750","4,160","68,690","2,919","70,020","5,283","74,190","3,009","65,010","3,599","64,960","5,230","62,320","3,300","58,050","2,992","57,760","3,392","57,520","2,970","54,090","4,350","52,220","2,486","48,970","1,976","54,660","1,745","55,210","2,255","52,110","1,781","50,700","1,388","54,590","2,159","52,440","1,730","51,240","1,076","48,050","1,421","49,020","1,378","49,650","1,685","49,600","1,468","50,370","1,508","46,630","2,281","41,460","1,753","43,030","2,062","39,310","1,402","34,930","1,848","35,870","1,191","36,060",849,"35,680","1,393","32,590","1,111","30,800","1,113","32,070","1,133","30,510","1,167","29,240",875,"25,630","1,212","22,980","1,366","25,820","1,027"
