GEOID,state,medinc_totalE,medinc_totalM,medinc_15_24E,medinc_15_24M,medinc_25_44E,medinc_25_44M,medinc_45_64E,medinc_45_64M,medinc_65_plusE,medinc_65_plusM,year,med_rentE,med_rentM,annual_rent,rtb_15_24,rtb_25_44,burden_cat_young,burden_cat_established,affordability_gap
01,Alabama,42081,183,21086,563,47474,492,51270,415,29466,264,2010,644,4,7728,36.649909892819885,16.27838395753465,Burdened (30-50%),Affordable (<30%),20.371525935285234
02,Alaska,66521,642,40863,1443,67966,1193,78610,1226,45414,1589,2010,972,9,11664,28.544159753322074,17.161521937439307,Affordable (<30%),Affordable (<30%),11.382637815882767
04,Arizona,50448,217,28751,765,54942,477,60747,408,37268,338,2010,856,4,10272,35.72745295815798,18.696079502020314,Burdened (30-50%),Affordable (<30%),17.03137345613767
05,Arkansas,39267,283,21820,616,44551,648,47141,462,28155,358,2010,617,4,7404,33.93217231897342,16.61915557451011,Burdened (30-50%),Affordable (<30%),17.31301674446331
06,California,60883,150,32470,415,64374,306,73646,296,40098,206,2010,1147,2,13764,42.38989836772406,21.3813030105322,Burdened (30-50%),Affordable (<30%),21.008595357191858
08,Colorado,56456,309,28167,837,60717,498,69405,563,37745,429,2010,852,4,10224,36.2977952923634,16.838776619398192,Burdened (30-50%),Affordable (<30%),19.45901867296521
09,Connecticut,67740,381,31483,1110,73744,797,84875,675,39360,532,2010,982,5,11784,37.42972397801989,15.979605120416576,Burdened (30-50%),Affordable (<30%),21.45011885760331
10,Delaware,57599,651,32422,1706,62038,864,70813,1192,39340,857,2010,938,8,11256,34.71716735549935,18.143718366162677,Burdened (30-50%),Affordable (<30%),16.573448989336672
11,District of Columbia,58526,982,31006,1636,69979,1525,62670,1520,41660,1253,2010,1063,13,12756,41.14042443398052,18.228325640549308,Burdened (30-50%),Affordable (<30%),22.912098793431213
12,Florida,47661,173,27317,407,52746,346,56673,322,34987,181,2010,957,2,11484,42.039755463630705,21.77226709134342,Burdened (30-50%),Affordable (<30%),20.267488372287286
13,Georgia,49347,240,25291,551,53271,349,58569,489,31899,254,2010,808,3,9696,38.337748606223556,18.201272737511967,Burdened (30-50%),Affordable (<30%),20.13647586871159
15,Hawaii,66420,603,36283,2744,68345,1415,76352,1112,52405,1065,2010,1260,18,15120,41.67240856599509,22.123052161826028,Burdened (30-50%),Affordable (<30%),19.549356404169064
16,Idaho,46423,367,27195,920,50854,659,56323,669,33137,561,2010,689,5,8268,30.402647545504692,16.25830809769143,Burdened (30-50%),Affordable (<30%),14.144339447813262
17,Illinois,55735,210,25854,446,61533,329,68668,392,34435,227,2010,834,3,10008,38.70967741935484,16.264443469357907,Burdened (30-50%),Affordable (<30%),22.445233949996933
18,Indiana,47697,197,23184,616,52962,338,59141,432,31802,251,2010,683,3,8196,35.351966873706004,15.475246403081455,Burdened (30-50%),Affordable (<30%),19.876720470624548
19,Iowa,48872,269,26000,596,56033,574,61140,404,31591,327,2010,617,3,7404,28.47692307692308,13.213641960987275,Affordable (<30%),Affordable (<30%),15.263281115935804
20,Kansas,49424,307,24844,790,53980,607,62659,634,33355,453,2010,671,4,8052,32.41023989695701,14.916635791033716,Burdened (30-50%),Affordable (<30%),17.493604105923293
21,Kentucky,41576,210,22486,705,47808,536,49999,399,27179,299,2010,601,3,7212,32.07329004714044,15.085341365461847,Burdened (30-50%),Affordable (<30%),16.987948681678592
22,Louisiana,43445,264,23231,996,49490,568,51829,445,28526,350,2010,712,5,8544,36.77844259825234,17.26409375631441,Burdened (30-50%),Affordable (<30%),19.51434884193793
23,Maine,46933,457,26999,1366,52645,805,56734,725,29733,560,2010,707,7,8484,31.423386051335235,16.115490549909772,Burdened (30-50%),Affordable (<30%),15.307895501425463
24,Maryland,70647,262,36504,973,74677,591,85695,694,43861,550,2010,1091,6,13092,35.864562787639706,17.531502336730185,Burdened (30-50%),Affordable (<30%),18.33306045090952
25,Massachusetts,64509,344,30830,716,72850,628,80150,538,34873,323,2010,1006,6,12072,39.156665585468694,16.571036376115305,Burdened (30-50%),Affordable (<30%),22.58562920935339
26,Michigan,48432,168,21528,374,53856,362,59703,372,32979,198,2010,723,3,8676,40.30100334448161,16.109625668449198,Burdened (30-50%),Affordable (<30%),24.19137767603241
27,Minnesota,57243,187,28693,858,64639,389,70338,315,34152,332,2010,759,3,9108,31.742933816610325,14.090564519871904,Burdened (30-50%),Affordable (<30%),17.65236929673842
28,Mississippi,37881,333,20560,866,42801,568,45264,670,25606,319,2010,648,5,7776,37.82101167315175,18.167799817761267,Burdened (30-50%),Affordable (<30%),19.653211855390484
29,Missouri,46262,177,24629,509,51838,345,56532,355,31175,277,2010,667,3,8004,32.49827439197694,15.440410509664726,Burdened (30-50%),Affordable (<30%),17.057863882312216
